#{"t_start": 1745003421.7714872, "env_id": "MsPacmanNoFrameskip-v4"}
r,l,t
1040.0,3505,4008.486235
1350.0,2945,4016.601771
650.0,2977,4025.152508
1270.0,3825,4035.690788
900.0,3113,4044.465154
1010.0,3081,4053.392704
1260.0,3217,4062.460022
1020.0,2385,4069.576042
630.0,3953,4080.484685
750.0,2841,4088.511787
2520.0,4353,4100.502167
1010.0,2649,4108.185877
960.0,3233,4117.308089
1200.0,2601,4124.458243
990.0,3065,4133.215759
820.0,2745,4140.904432
370.0,2081,4146.781281
1950.0,2345,4153.169479
660.0,2225,4159.628329
860.0,2473,4166.496023
1040.0,3761,4177.009751
560.0,2777,4184.964537
880.0,2193,4191.071544
440.0,2409,4197.570618
1080.0,3729,4208.3082
670.0,2057,4214.022234
360.0,1361,4217.849907
1150.0,3113,4226.753568
640.0,2057,4232.448058
690.0,1969,4237.855189
820.0,2601,4245.46031
520.0,1945,4250.838561
880.0,3361,4260.188883
580.0,2497,4267.363184
810.0,3033,4275.825944
510.0,1697,4280.620608
730.0,2689,4288.39387
940.0,2785,4296.191829
1230.0,2657,4303.654747
960.0,2625,4311.023759
630.0,1881,4316.197578
750.0,3345,4325.873322
500.0,2145,4331.909891
630.0,2529,4338.906954
1440.0,3809,4350.109507
1690.0,3521,4360.049965
520.0,1689,4365.020868
830.0,3097,4373.704774
520.0,2321,4380.11537
1200.0,2377,4386.945794
650.0,2705,4394.424338
1640.0,3585,4404.883707
1030.0,3161,4414.166402
680.0,2049,4419.880675
1100.0,2889,4428.212009
510.0,1817,4433.271548
910.0,3201,4442.128595
1480.0,4969,4456.465463
870.0,2785,4464.226303
390.0,1401,4468.520247
640.0,2329,4475.120528
800.0,2817,4483.10514
660.0,2513,4490.490196
870.0,2817,4498.454035
980.0,2857,4506.628371
1010.0,3513,4516.48124
610.0,1977,4522.052876
1400.0,2809,4530.19256
290.0,1457,4534.312894
1250.0,2953,4542.573636
870.0,2665,4550.154258
1070.0,3153,4559.249821
1240.0,3209,4568.823324
3710.0,2945,4577.282787
700.0,2833,4585.180047
870.0,2825,4593.353402
370.0,1457,4597.38175
960.0,2753,4605.080559
660.0,2065,4611.014123
390.0,1537,4615.362705
580.0,2241,4621.549043
1360.0,4673,4635.009472
1460.0,3425,4644.914522
1000.0,2657,4652.353125
1430.0,2825,4660.146737
1450.0,3497,4670.10922
420.0,1777,4675.100365
1010.0,1953,4680.75835
480.0,2025,4686.593154
510.0,3841,4697.376572
400.0,1689,4702.038321
680.0,2161,4708.163974
710.0,2561,4715.466881
1150.0,3313,4724.943489
1020.0,2433,4732.032391
430.0,1625,4736.572936
400.0,2225,4742.686025
430.0,1985,4748.448017
580.0,1985,4754.037931
1080.0,3857,4765.072949
410.0,1865,4770.519352
510.0,1833,4775.567081
410.0,1585,4780.306162
470.0,2017,4786.081136
940.0,3209,4795.172109
510.0,1977,4800.761586
580.0,1849,4806.046772
510.0,1881,4811.585188
630.0,2009,4817.206492
720.0,2761,4825.369756
560.0,2145,4831.489629
930.0,2249,4837.984634
1140.0,3417,4847.616962
590.0,1681,4852.618119
1020.0,2441,4859.817716
1080.0,3897,4871.412243
1060.0,2729,4880.138548
420.0,1817,4885.465318
440.0,1817,4890.981846
500.0,1665,4895.904189
570.0,2033,4902.00081
350.0,1961,4907.624238
780.0,2761,4915.583655
2220.0,3833,4926.688436
600.0,2225,4932.982922
470.0,2529,4940.317319
570.0,2553,4947.754536
240.0,2049,4953.722222
410.0,1977,4959.362023
880.0,3385,4969.099264
550.0,2465,4976.266849
480.0,2209,4982.681971
430.0,2001,4988.434381
1240.0,2305,4995.247256
790.0,2457,5002.397433
670.0,2441,5009.372399
1010.0,2801,5017.73068
1560.0,3233,5027.07125
620.0,2825,5035.273486
980.0,3473,5045.3555
510.0,2233,5052.00599
1490.0,3585,5062.404979
1340.0,3897,5074.209839
750.0,1985,5079.276799
390.0,1585,5083.294335
310.0,1473,5087.053756
1340.0,3809,5096.640777
2720.0,3721,5106.156381
830.0,2553,5112.645217
