#{"t_start": 1744843828.1221945, "env_id": "MsPacmanNoFrameskip-v4"}
r,l,t
490.0,1801,935.974186
1890.0,2209,937.535185
340.0,1601,939.070184
600.0,2257,940.564183
780.0,3369,943.548573
300.0,1505,945.230573
210.0,1337,946.293573
360.0,1601,947.802573
1190.0,2985,950.794574
350.0,1753,952.064573
220.0,1353,953.450573
720.0,2457,955.513575
290.0,1305,956.946574
410.0,2113,958.377576
1040.0,2641,960.578573
410.0,1625,961.666573
470.0,1793,963.214573
710.0,2321,964.911573
1220.0,3393,967.762573
210.0,1185,968.636573
520.0,2553,970.951573
420.0,2097,972.489574
1110.0,2457,974.667574
390.0,1737,975.941575
260.0,1369,977.344573
510.0,2193,979.110573
1000.0,2569,981.664574
430.0,1713,982.803574
460.0,1977,984.538573
610.0,2761,986.927573
340.0,1609,988.214573
640.0,2081,990.063573
540.0,2337,992.164573
250.0,1297,993.061574
640.0,2497,995.343573
430.0,2553,997.519573
500.0,2049,998.978575
440.0,2393,1001.368574
360.0,1649,1002.585573
1030.0,2145,1004.421573
330.0,1497,1005.607573
440.0,1721,1006.980573
410.0,1697,1008.504574
910.0,3249,1011.025573
450.0,2041,1013.163574
590.0,2369,1015.500573
280.0,1433,1016.803573
500.0,1913,1018.258574
1070.0,3185,1020.842575
410.0,1705,1022.279573
360.0,1953,1023.703575
710.0,3057,1026.235573
210.0,1177,1027.075623
370.0,1977,1028.605705
370.0,1553,1030.066608
690.0,2305,1031.782609
330.0,1825,1033.317608
320.0,1825,1034.591608
950.0,3689,1037.580819
450.0,2521,1039.680836
320.0,2105,1041.25527
1120.0,2737,1043.47127
1100.0,2601,1045.55527
250.0,2497,1047.484271
580.0,2577,1049.95127
430.0,1561,1051.00527
420.0,2025,1052.71527
370.0,1617,1053.856271
580.0,2601,1056.480272
610.0,2209,1058.238269
390.0,1561,1059.93627
1020.0,2537,1061.856271
1570.0,3825,1064.83227
680.0,2289,1066.852271
400.0,1937,1068.435271
730.0,2577,1070.949271
1070.0,3873,1074.231273
490.0,2337,1075.964274
510.0,1761,1077.533272
500.0,3377,1080.168272
490.0,2225,1081.65627
470.0,1777,1083.30227
890.0,3329,1085.529271
550.0,2425,1087.713272
700.0,3041,1090.167273
410.0,1785,1091.493271
220.0,1241,1092.45127
320.0,1777,1094.146271
630.0,3249,1096.777271
630.0,2385,1098.696271
370.0,1857,1100.27427
430.0,1865,1101.597271
1100.0,4265,1104.844275
500.0,2017,1106.863273
1990.0,3129,1109.551274
390.0,2385,1111.65827
690.0,2409,1113.789272
550.0,2265,1115.28027
