#{"t_start": 1745049255.1946304, "env_id": "MsPacmanNoFrameskip-v4"}
r,l,t
590.0,2705,1671.402661
370.0,2225,1676.415409
490.0,1681,1680.290544
770.0,2665,1686.295142
450.0,2153,1691.196023
700.0,2897,1697.675744
400.0,1881,1701.972665
210.0,1449,1705.462609
830.0,3057,1712.743305
800.0,4601,1723.890291
1240.0,2457,1729.759143
140.0,1201,1732.605752
300.0,1609,1736.4275
820.0,2601,1742.60473
720.0,2625,1748.737055
440.0,1945,1753.333097
530.0,2097,1758.236033
690.0,2553,1764.320319
320.0,1721,1768.337537
550.0,2233,1773.589991
800.0,2649,1779.860063
1320.0,3929,1789.407669
400.0,2201,1794.664178
600.0,2721,1801.085074
470.0,2097,1805.993607
1030.0,2865,1812.814837
420.0,2129,1817.891829
500.0,2001,1822.793935
160.0,1425,1826.329959
260.0,1809,1830.67986
320.0,1849,1835.059241
820.0,2873,1841.91103
550.0,2465,1847.793643
460.0,2417,1853.573008
540.0,2649,1859.849904
760.0,2953,1866.874266
1270.0,3409,1874.953489
730.0,2065,1879.952889
390.0,1649,1883.992229
320.0,1601,1887.806072
1540.0,3441,1896.16627
340.0,1977,1900.962983
990.0,4161,1910.967055
580.0,2777,1917.614798
460.0,1601,1921.450371
1800.0,2793,1928.233415
550.0,2849,1934.946167
300.0,1289,1937.872356
980.0,3569,1946.094196
570.0,2233,1951.39501
1250.0,4257,1961.509443
1080.0,3409,1969.574609
850.0,2961,1976.573436
930.0,2609,1982.808543
440.0,1697,1986.772293
740.0,2665,1993.123283
280.0,1825,1997.370926
610.0,3017,2004.539377
450.0,3001,2011.655853
470.0,2009,2016.45868
590.0,2377,2022.186215
400.0,1601,2026.014265
1100.0,4697,2037.132371
380.0,2289,2042.383709
360.0,1737,2046.384101
490.0,2473,2051.913498
490.0,2585,2057.858862
300.0,1449,2061.161853
240.0,1849,2065.328327
310.0,1865,2069.562624
230.0,1281,2072.442858
420.0,1977,2076.945351
1020.0,2409,2082.44285
690.0,2249,2087.598006
660.0,3001,2094.72504
1410.0,3673,2103.645051
330.0,1753,2107.672984
520.0,2529,2113.705408
220.0,1169,2116.455137
370.0,1833,2120.811729
320.0,1817,2125.237144
320.0,1337,2128.431148
440.0,1625,2132.32475
780.0,2305,2137.554602
640.0,2665,2143.584578
400.0,1809,2147.684701
260.0,1585,2151.455693
340.0,1929,2156.033366
730.0,2673,2162.582275
510.0,2209,2167.931787
740.0,2433,2173.614132
700.0,2449,2179.365519
310.0,2193,2184.641684
510.0,2529,2190.766522
700.0,3145,2198.385273
290.0,1905,2202.891876
710.0,3841,2212.076068
510.0,1889,2216.61343
530.0,2233,2221.927927
1390.0,4065,2231.791156
470.0,2041,2236.573079
300.0,1585,2240.320859
940.0,2793,2247.087939
500.0,2249,2252.572871
490.0,1833,2257.041344
840.0,2577,2263.235566
710.0,2345,2268.767668
1040.0,3481,2277.043148
730.0,2753,2283.586476
970.0,4337,2293.851993
450.0,2281,2299.374104
920.0,3889,2308.680269
830.0,2969,2315.764333
520.0,1801,2320.133396
530.0,2057,2325.046019
320.0,1713,2329.078654
1140.0,2489,2334.968287
540.0,2753,2341.596088
1130.0,3593,2350.090964
530.0,2097,2354.823559
400.0,1689,2358.691488
420.0,1889,2363.051392
750.0,2609,2369.221479
340.0,1649,2373.146752
280.0,1561,2376.787853
490.0,2865,2383.752863
670.0,2409,2389.502542
